Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/CodeSystem-v3-RoleCode-cz.json	45670	11	0	0	0	0	0	0	4	50	0	0	0	0	0	0	0	1	0	0	322	372	0	0	0	6	0	1
fsh-generated/resources/ValueSet-AllergenWithExceptions.json	2113	3	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	27	4214	0	0	0	1	0	0
fsh-generated/resources/ValueSet-MedicalDeviceWithExceptions.json	1715	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	26	3311	0	0	0	0	0	0
fsh-generated/resources/ValueSet-OP-NS.json	34073	5	0	0	1	0	0	0	2	1571	0	0	0	0	0	0	0	0	0	0	320	1646	0	0	0	7	0	0
fsh-generated/resources/ValueSet-administrative-gender-cz.json	1005	3	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	35	619	0	0	0	1	0	0
fsh-generated/resources/ValueSet-contact-and-relationship-cz.json	1023	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	40	2072	0	0	0	0	0	0
fsh-generated/resources/ValueSet-contactrole-cz.json	1394	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	38	668	0	0	0	1	0	0
fsh-generated/resources/ValueSet-cz-coverage-type.json	1417	2	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	133	3173	0	0	0	0	0	0
fsh-generated/resources/ValueSet-cz-logo-mime-types.json	1193	3	0	0	0	0	0	0	0	723	0	0	0	0	0	0	0	0	0	0	20	653	0	0	0	1	0	0
fsh-generated/resources/ValueSet-cz-sitequalifier.json	3747	2	0	0	1	0	0	0	0	1001	0	0	0	0	0	0	0	0	0	0	31	475	0	0	0	1	0	0
fsh-generated/resources/ValueSet-cz-specimen-laterality.json	1721	2	0	0	0	0	0	0	1	445	0	0	0	0	0	0	0	0	0	0	20	448	0	0	0	0	0	0
fsh-generated/resources/ValueSet-cz-specimenAdditive.json	3247	3	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	29	377	0	0	0	1	0	0
fsh-generated/resources/ValueSet-cz-specimencontainer.json	1196	2	0	0	0	0	0	0	0	420	0	0	0	0	0	0	0	0	0	0	31	898	0	0	0	0	0	0
fsh-generated/resources/ValueSet-dlp-atc.json	975	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	18	419	0	0	0	0	0	0
fsh-generated/resources/ValueSet-dlp-formy.json	1055	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	25	745	0	0	0	1	0	1
fsh-generated/resources/ValueSet-dlp-lecivelatky.json	1107	3	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	24	1347	0	0	0	0	0	0
fsh-generated/resources/ValueSet-dlp-lecivepripravky.json	1039	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	17	613	0	0	0	1	0	0
fsh-generated/resources/ValueSet-document-category.json	1890	2	0	0	0	0	0	0	0	723	0	0	0	0	0	0	0	0	0	0	20	652	0	0	0	0	0	0
fsh-generated/resources/ValueSet-drzar.json	1153	3	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	19	96	0	0	0	1	0	0
fsh-generated/resources/ValueSet-eHDSIAbsentOrUnknownAllergy-cz.json	1928	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	33	61	0	0	0	1	0	0
fsh-generated/resources/ValueSet-eHDSIAbsentOrUnknownDevice-cz.json	1574	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	31	56	0	0	0	0	0	0
fsh-generated/resources/ValueSet-eHDSIAllergenNoDrug-cz.json	40879	9	0	0	0	0	0	0	4	395	0	0	0	0	0	0	0	1	0	0	443	488	0	0	0	10	0	0
fsh-generated/resources/ValueSet-eHDSIExceptionalValue-cz.json	1480	2	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	48	71	0	0	0	1	0	1
fsh-generated/resources/ValueSet-healthInsuranceCompanyCode.json	1108	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	30	116	0	0	0	1	0	0
fsh-generated/resources/ValueSet-imaging-document-types.json	7410	2	0	0	1	0	0	0	1	1294	0	0	0	0	0	0	0	0	0	0	110	687	0	0	0	2	0	0
fsh-generated/resources/ValueSet-lab-document-types.json	2073	3	0	0	0	0	0	0	0	516	0	0	0	0	0	0	0	0	0	0	55	497	0	0	0	1	0	0
fsh-generated/resources/ValueSet-lab-specimenType.json	49257	8	0	0	0	0	0	0	4	574	0	0	0	0	0	0	0	0	0	0	588	1132	0	0	0	13	0	0
fsh-generated/resources/ValueSet-medical-device.json	1490	2	0	0	0	0	0	0	0	326	0	0	0	0	0	0	0	0	0	0	25	927	0	0	0	1	0	0
fsh-generated/resources/ValueSet-medical-document-type.json	2525	3	0	0	0	0	0	0	0	542	0	0	0	0	0	0	0	0	0	0	55	503	0	0	0	1	0	1
fsh-generated/resources/ValueSet-nclpmat.json	729	2	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	39	189	0	0	0	0	0	0
fsh-generated/resources/ValueSet-nrzp-povolani-vs.json	1131	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	46	94	0	0	0	0	0	0
fsh-generated/resources/ValueSet-nursing-document-type.json	1731	2	0	0	0	0	0	0	0	646	0	0	0	0	0	0	0	0	0	0	43	674	0	0	0	1	0	0
fsh-generated/resources/ValueSet-passport-NS.json	37731	6	0	0	0	0	0	0	2	1071	0	0	0	0	0	0	0	1	0	0	748	1099	0	0	0	5	0	0
fsh-generated/resources/ValueSet-personal-relationship-cz.json	4121	3	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	228	1286	0	0	0	2	0	0
fsh-generated/resources/ValueSet-referralorder-types.json	1673	2	0	0	1	0	0	0	0	1021	0	0	0	0	0	0	0	0	0	0	58	1064	0	0	0	1	0	0
fsh-generated/resources/ValueSet-registering-provider-service-type-cz.json	1908	3	0	0	0	0	0	0	0	392	0	0	0	0	0	0	0	0	0	0	50	404	0	0	0	1	0	0
fsh-generated/resources/ValueSet-search-document-types.json	1703	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	48	114	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	2755	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
/fsh-generated/includes/menu.xml	1109	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/codeSystems.md	621	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/terminologies.md	291	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/index.md	267	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/artifactsPage.md	1121	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/valueSets.md	616	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config/_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	20961	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0
